"pathway","spearman_r"
"HALLMARK_PROTEIN_SECRETION",0.153403176435425
"HALLMARK_DNA_REPAIR",0.0670638069815618
"HALLMARK_BILE_ACID_METABOLISM",0.0622249476949715
"HALLMARK_OXIDATIVE_PHOSPHORYLATION",-0.00515062817566244
"HALLMARK_WNT_BETA_CATENIN_SIGNALING",-0.0577287765261216
"HALLMARK_HEME_METABOLISM",-0.0599266183639605
"HALLMARK_PEROXISOME",-0.0614158945448174
"HALLMARK_ANDROGEN_RESPONSE",-0.0643171488348604
"HALLMARK_UV_RESPONSE_DN",-0.0717996021725911
"HALLMARK_COMPLEMENT",-0.072381914312511
"HALLMARK_FATTY_ACID_METABOLISM",-0.0825594937491626
"HALLMARK_PI3K_AKT_MTOR_SIGNALING",-0.0862826842013048
"HALLMARK_IL2_STAT5_SIGNALING",-0.0898538551124945
"HALLMARK_ALLOGRAFT_REJECTION",-0.111273150772465
"HALLMARK_INTERFERON_GAMMA_RESPONSE",-0.112473847485751
"HALLMARK_KRAS_SIGNALING_DN",-0.114633040287755
"HALLMARK_INFLAMMATORY_RESPONSE",-0.118647386809857
"HALLMARK_ANGIOGENESIS",-0.125864450101518
"HALLMARK_TNFA_SIGNALING_VIA_NFKB",-0.129476846650932
"HALLMARK_ADIPOGENESIS",-0.130734228616777
"HALLMARK_UNFOLDED_PROTEIN_RESPONSE",-0.139023158502273
"HALLMARK_HEDGEHOG_SIGNALING",-0.151316128500314
"HALLMARK_KRAS_SIGNALING_UP",-0.151589248353551
"HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY",-0.153434095664093
"HALLMARK_MTORC1_SIGNALING",-0.156593010193039
"HALLMARK_GLYCOLYSIS",-0.158723860368763
"HALLMARK_APICAL_SURFACE",-0.161893081307265
"HALLMARK_P53_PATHWAY",-0.162735630288476
"HALLMARK_XENOBIOTIC_METABOLISM",-0.168965854865141
"HALLMARK_MYC_TARGETS_V2",-0.173307429890649
"HALLMARK_MYOGENESIS",-0.176579714924712
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",-0.178406526018531
"HALLMARK_APOPTOSIS",-0.17986488297072
"HALLMARK_ESTROGEN_RESPONSE_LATE",-0.184943366279489
"HALLMARK_MITOTIC_SPINDLE",-0.189166417595102
"HALLMARK_HYPOXIA",-0.189261751883496
"HALLMARK_COAGULATION",-0.18978222556608
"HALLMARK_E2F_TARGETS",-0.191227699506323
"HALLMARK_TGF_BETA_SIGNALING",-0.192629371205953
"HALLMARK_G2M_CHECKPOINT",-0.194811753429458
"HALLMARK_IL6_JAK_STAT3_SIGNALING",-0.201606253929319
"HALLMARK_MYC_TARGETS_V1",-0.205301101755182
"HALLMARK_APICAL_JUNCTION",-0.206823873767096
"HALLMARK_NOTCH_SIGNALING",-0.211049501685098
"HALLMARK_CHOLESTEROL_HOMEOSTASIS",-0.226681748379317
"HALLMARK_INTERFERON_ALPHA_RESPONSE",-0.24275459408206
"HALLMARK_PANCREAS_BETA_CELLS",-0.243841920290229
"HALLMARK_ESTROGEN_RESPONSE_EARLY",-0.265256062745421
"HALLMARK_SPERMATOGENESIS",-0.294539148896699
"HALLMARK_UV_RESPONSE_UP",-0.340830387417935
